Date,Open,High,Low,Close,Adj Close,Volume
2011-01-19,256.000000,259.399994,253.600006,256.019989,191.073395,7958925
2011-01-20,254.800003,266.690002,251.000000,257.019989,191.819717,12914185
2011-01-21,255.000000,258.730011,253.199997,257.410004,192.110794,10185635
2011-01-24,257.799988,268.950012,257.799988,265.149994,197.887314,16310795
2011-01-25,265.600006,268.799988,258.750000,259.440002,193.625809,13241745
2011-01-27,262.799988,265.200012,257.399994,259.790009,193.887039,14377695
2011-01-28,260.000000,260.880005,248.690002,250.699997,187.102966,13023670
2011-01-31,246.410004,252.559998,245.729996,248.440002,185.416275,9721405
2011-02-01,250.729996,251.529999,246.800003,248.529999,185.483429,8100325
2011-02-02,251.000000,251.399994,243.210007,245.009995,182.856384,8549595
2011-02-03,243.600006,252.679993,243.600006,251.270004,187.528366,4917935
2011-02-04,249.070007,253.660004,242.440002,244.520004,182.490677,9051770
2011-02-07,248.479996,248.479996,243.050003,245.710007,183.378830,4912680
2011-02-08,245.020004,246.800003,236.419998,238.139999,177.729172,6334730
2011-02-09,237.000000,239.009995,230.000000,232.130005,173.243774,8796985
2011-02-10,231.220001,238.960007,230.000000,233.110001,173.975159,9417625
2011-02-11,233.020004,245.940002,232.630005,244.339996,182.356354,7206395
2011-02-14,241.419998,255.179993,241.419998,254.009995,189.573288,6552065
2011-02-15,255.479996,257.660004,250.059998,254.960007,190.282288,6995755
2011-02-16,253.029999,261.000000,253.029999,259.359985,193.566086,8241520
2011-02-17,269.769989,269.769989,258.410004,263.500000,196.655899,7378890
2011-02-18,263.600006,268.260010,258.010010,259.359985,193.566086,10497290
2011-02-21,258.000000,262.600006,255.600006,261.390015,195.081177,5389735
2011-02-22,254.259995,258.799988,251.600006,252.929993,188.767258,5128665
2011-02-23,251.990005,255.800003,250.259995,251.000000,187.326859,4696050
2011-02-24,248.600006,250.199997,236.000000,238.070007,177.676910,10047650
2011-02-25,241.179993,248.800003,238.750000,246.500000,183.968414,8398290
2011-02-28,246.600006,258.660004,242.399994,243.710007,181.886185,9199505
2011-03-01,247.000000,259.799988,246.690002,257.760010,192.371994,7055055
2011-03-03,255.600006,264.000000,252.220001,261.959991,195.506546,11345475
2011-03-04,264.880005,268.200012,262.630005,265.660004,198.267944,8147410
2011-03-07,261.000000,262.000000,253.199997,256.679993,191.565964,5579705
2011-03-08,257.200012,263.600006,256.619995,262.299988,195.760269,4933980
2011-03-09,263.399994,265.910004,258.399994,260.190002,194.185577,6666290
2011-03-10,259.429993,259.429993,255.000000,257.010010,191.812256,3470595
2011-03-11,255.199997,259.399994,251.660004,253.139999,188.923981,6341595
2011-03-14,253.199997,259.380005,253.199997,258.070007,192.603378,4843775
2011-03-15,250.669998,259.959991,249.139999,256.589996,191.498810,7451930
2011-03-16,258.000000,265.000000,258.000000,263.720001,196.820099,7462555
2011-03-17,260.000000,265.670013,257.260010,258.220001,192.715302,8448360
2011-03-18,259.600006,260.000000,252.220001,253.839996,189.446426,7745895
2011-03-21,257.600006,258.000000,252.220001,255.869995,190.961441,2942770
2011-03-22,257.600006,261.000000,255.600006,259.179993,193.431778,3878430
2011-03-23,259.000000,263.500000,258.269989,263.079987,196.342407,4621175
2011-03-24,263.640015,266.880005,261.510010,263.890015,196.946960,6041580
2011-03-25,268.559998,273.980011,265.390015,272.989990,203.738495,9739995
2011-03-28,274.000000,278.459991,273.010010,276.850006,206.619278,7284900
2011-03-29,275.519989,286.350006,275.519989,284.429993,212.276413,12467980
2011-03-30,285.380005,286.429993,282.709991,285.290009,212.918274,5872165
2011-03-31,285.799988,288.709991,277.209991,280.769989,209.544861,13092835
2011-04-01,282.059998,283.399994,275.720001,281.549988,210.126984,5346590
