"Date","Open","High","Low","Close"
"10 Jul 2018","15257.40","15296.60","15213.10","15267.40"
"09 Jul 2018","15150.70","15229.10","15132.30","15210.25"
"06 Jul 2018","15019.20","15111.30","15010.25","15056.65"
"05 Jul 2018","15063.75","15114.85","15038.55","15059.45"
"04 Jul 2018","14946.00","15060.80","14866.60","15032.90"
"03 Jul 2018","14892.60","14971.20","14845.05","14909.45"
"02 Jul 2018","14962.80","14970.20","14824.45","14913.45"
"29 Jun 2018","14906.90","15018.40","14885.05","14961.75"
"28 Jun 2018","14966.30","14999.15","14818.70","14911.05"
"27 Jun 2018","15118.15","15118.15","14903.55","14980.45"
"26 Jun 2018","15041.25","15153.50","15032.75","15105.25"
"25 Jun 2018","15177.60","15233.80","15084.45","15105.70"
"22 Jun 2018","15080.45","15233.00","14993.80","15206.55"
"21 Jun 2018","15126.35","15158.80","15041.05","15065.20"
"20 Jun 2018","14937.50","15088.60","14929.00","15075.30"
"19 Jun 2018","15014.75","15014.75","14876.85","14902.60"
"18 Jun 2018","14988.00","15026.40","14924.05","14988.25"
"15 Jun 2018","15009.30","15048.95","14909.20","14970.15"
"14 Jun 2018","15052.95","15068.35","14987.05","15028.95"
"13 Jun 2018","15120.45","15140.00","15049.20","15067.40"
"12 Jun 2018","15066.15","15083.10","14988.85","15054.30"
"11 Jun 2018","14997.20","15098.40","14970.35","14994.50"
"08 Jun 2018","15015.65","15021.95","14913.05","14990.55"
"07 Jun 2018","15070.90","15206.20","15033.15","15051.50"
"06 Jun 2018","14911.95","14979.85","14826.00","14942.40"
"05 Jun 2018","14932.00","14953.45","14807.00","14889.40"
"04 Jun 2018","15298.8","15303.75","14894.3","14921.4"
"01 Jun 2018","15262.3","15301","15084.6","15118.95"
"31 May 2018","15044.9","15423.15","14913.05","15255.25"
"30 May 2018","14800.5","14984.45","14753.1","14930.3"
"29 May 2018","15100.85","15103","14895.05","14917.4"
"28 May 2018","14967.1","15175.8","14957.45","15117.5"
"25 May 2018","14828.8","14990","14800.95","14956.7"
"24 May 2018","14631.35","14829.3","14606.5","14791.95"
"23 May 2018","14668.75","14723.3","14562.4","14607.6"
"22 May 2018","14769.45","14869.5","14684.45","14706.2"
